folio,razon_social,inicio_esperado,termio_esperado,inicio_sira,termio_sira,inicio_ok,termio_ok,resultado,detalle,timestamp
73166,CLUB SOCIAL Y DEPORTIVO OROMPELLO,20/06/2023,19/10/2023,20/06/2023,,True,None,COINCIDE,,2026-05-27 18:46:21
75606,COMITE TIERRAS ROJAS LAGUNA VERDE,19/06/2023,13/10/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:46:25
70311,CORPORACIÓN PILARES,23/06/2023,10/08/2023,23/06/2023,,True,None,COINCIDE,,2026-05-27 18:46:29
75822,"FUNDACION CADENA DE FAVORES CHILE, POR LA EQUIDAD SOCIAL",19/06/2023,20/10/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:46:32
69453,FUNDACIÓN IMPULSA 21,07/01/2023,09/06/2023,07/01/2023,,True,None,COINCIDE,,2026-05-27 18:46:36
75082,FUNDACIÓN KURMI PARA LA PROMOCIÓN DE CULTURA INCLUSIVA Y UN MEDIO AMBIENTE SUSTENTABLE,19/06/2023,30/09/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:46:39
75331,FUNDACION TRAMA RURAL,19/06/2023,10/08/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:46:43
75127,FUNDACIÓN TRUEKE,19/06/2023,10/06/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:46:47
75064,GRUPO FOLCLORICO ALMA JOVEN,20/06/2023,29/08/2023,20/06/2023,,True,None,COINCIDE,,2026-05-27 18:46:50
76171,JUNTA DE VECINOS JOSÉ MIGUEL CARRERA,08/07/2023,16/10/2023,08/07/2023,,True,None,COINCIDE,,2026-05-27 18:46:55
74903,JUNTA DE VECINOS VILLA EL MIRADOR UVN 11,16/08/2023,18/10/2023,16/08/2023,,True,None,COINCIDE,,2026-05-27 18:46:59
74631,PROYECTO GIRASOL,21/06/2023,20/10/2023,21/06/2023,,True,None,COINCIDE,,2026-05-27 18:47:02
69928,CASA CULTURAL EL CHAGUAL,07/12/2023,18/10/2023,07/12/2023,,True,None,COINCIDE,,2026-05-27 18:47:06
76359,UNION COMUNAL DE JUNTAS DE VECINOS DE OLMUE,19/06/2023,29/09/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:47:09
72964,ASOCIACION DE PADRES Y AMIGOS DE LOS AUTISTAS ASPAUT V REGION,08/01/2023,18/10/2023,08/01/2023,,True,None,COINCIDE,,2026-05-27 18:47:13
76284,CLUB DE ADULTO MAYOR ARMONIA,07/03/2023,19/10/2023,07/03/2023,,True,None,COINCIDE,,2026-05-27 18:47:17
73504,CLUB DEPORTIVO CONCON NATIONAL,19/06/2023,16/10/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:47:20
75164,CORPORACIÓN ACCIÓN INTEGRA,19/06/2023,20/10/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:47:24
70703,CORPORACIÓN MAYOR VIDA,08/01/2023,10/10/2023,08/01/2023,,True,None,COINCIDE,,2026-05-27 18:47:27
72159,CORPORACIÓN ONG DE DESARROLLO COMUNIDAD LA ESCUELA IMAGINARIA.,08/01/2023,10/07/2023,08/01/2023,,True,None,COINCIDE,,2026-05-27 18:47:31
70196,FUNDACION PAPUDO,07/03/2023,19/10/2023,07/03/2023,,True,None,COINCIDE,,2026-05-27 18:47:35
74567,FUNDACIÓN PUNTO ESPORA,19/06/2023,10/08/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:47:38
75772,JUNTA DE VECINOS N°11 PHILLIPI,19/06/2023,16/08/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:47:42
75284,JUNTA DE VECINOS RECREO Y RODRÍGUEZ,08/07/2023,19/10/2023,08/07/2023,,True,None,COINCIDE,,2026-05-27 18:47:45
73472,ONG AMUN,07/03/2023,30/08/2023,07/03/2023,,True,None,COINCIDE,,2026-05-27 18:47:49
74874,ORGANIZACIÓN NO GUBERNAMENTAL DE DESARROLLO LA MATRIZ,19/06/2023,20/10/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:47:52
70641,SOMOS HUMEDAL CÓRDOVA,19/06/2023,09/12/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:47:56
72936,FUNDACIÓN EDUCACIONAL CRUZ DEL SUR DE LAGUNA,19/06/2023,20/10/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:48:00
72112,CLUB DEPORTIVO DE BASQUETBOL SENIORS DAMAS MINERVA PARRA,19/06/2023,26/09/2023,19/06/2023,,True,None,COINCIDE,,2026-05-27 18:48:04
70863,FUNDACION SALUD PARA RAPA NUI,20/06/2023,17/10/2023,20/06/2023,,True,None,COINCIDE,,2026-05-27 18:48:07
73305,JUNTA DE VECINOS VILLA SANTO DOMINGO,07/05/2023,29/09/2023,07/05/2023,,True,None,COINCIDE,,2026-05-27 18:48:11
