region,folio,tipo,accion,detalle
ATACAMA,60202,rendicion,DRY_RUN,FOLIO 60202-JUNTA DE VECINOS JARDIN DEL PALOMAR.pdf → Rendición - 60202.pdf
ATACAMA,57626,garantia,DRY_RUN,FOLIO 57626- JUNTA DE VECINOS NUEVA ESPERANZA N°1.pdf → Garantía - 57626.pdf
ATACAMA,57626,rendicion,DRY_RUN,FOLIO 57626- JUNTA DE VECINOS NUEVA ESPERANZA N°1.pdf → Rendición - 57626.pdf
ATACAMA,60174,garantia,DRY_RUN,FOLIO 60174- CLUB DEPORTIVO Y RECREATIVO RAYUELA LOS MALAGUEÑOS.pdf → Garantía - 60174.pdf
ATACAMA,60174,rendicion,DRY_RUN,FOLIO 60174- CLUB DEPORTIVO Y RECREATIVO RAYUELA LOS MALAGUEÑOS.pdf → Rendición - 60174.pdf
ATACAMA,60037,garantia,DRY_RUN,FOLIO 60037- JUNTA DE VECINOS LA MARQUEZA.pdf → Garantía - 60037.pdf
ATACAMA,60037,rendicion,DRY_RUN,FOLIO 60037- JUNTA DE VECINOS LA MARQUEZA.pdf → Rendición - 60037.pdf
ATACAMA,55856,garantia,DRY_RUN,FOLIO 55856- COMUNIDAD INDIGENA DUAGUITA CHIGUINTO.pdf → Garantía - 55856.pdf
ATACAMA,55856,rendicion,DRY_RUN,FOLIO 55856- COMUNIDAD INDIGENA DIAGUITA CHIGUNTO.pdf → Rendición - 55856.pdf
OHIGGINS,54768,garantia,DRY_RUN,54768 - AGRUPACION AJEDREZ OHIGGINS.pdf → Garantía - 54768.pdf
OHIGGINS,54768,rendicion,DRY_RUN,06 MEMO DAF APRUEBA RENDICION.pdf → Rendición - 54768.pdf
OHIGGINS,54899,garantia,DRY_RUN,54899 - COMUNIDAD MAPUCHE WE FOLIL.pdf → Garantía - 54899.pdf
OHIGGINS,54899,rendicion,DRY_RUN,04 MEMO DAF APRUEBA RENDICION.pdf → Rendición - 54899.pdf
OHIGGINS,55756,garantia,DRY_RUN,55756 - AGRUPACION CULTURAL LAGO RAPEL.pdf → Garantía - 55756.pdf
OHIGGINS,55756,rendicion,DRY_RUN,04 MEMO DAF APRUEBA RENDICION.pdf → Rendición - 55756.pdf
OHIGGINS,55783,garantia,DRY_RUN,55783 - JJVV UNION CARACOLES.pdf → Garantía - 55783.pdf
OHIGGINS,55783,rendicion,DRY_RUN,06 MEMO DAF APRUEBA RENDICION.pdf → Rendición - 55783.pdf
OHIGGINS,55841,garantia,DRY_RUN,55841 - AGRUPACION EMPRENDEDORES DONIHUANOS.pdf → Garantía - 55841.pdf
