fuente,ruta_completa,ruta_relativa,nombre_archivo,extension,tamano_kb,folio_principal,folios_multiples,n_folios_detectados,categoria,folio_match,n_matches
respaldos,"D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\4 59994 Agrup social, cultural y dep colectivo Cheelkenue.png","AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\4 59994 Agrup social, cultural y dep colectivo Cheelkenue.png","4 59994 Agrup social, cultural y dep colectivo Cheelkenue.png",.png,2225.2,59994,,1,garantia,59994,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\5 55042 QUINTA COMPAÑIA DE BOMBEROS DE PUERTO IBAÑEZ.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\5 55042 QUINTA COMPAÑIA DE BOMBEROS DE PUERTO IBAÑEZ.pdf,5 55042 QUINTA COMPAÑIA DE BOMBEROS DE PUERTO IBAÑEZ.pdf,.pdf,961.1,55042,,1,garantia,55042,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\6 55866 ASOC DE VOLEIBOL DE PUERTO AYSÉN.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\6 55866 ASOC DE VOLEIBOL DE PUERTO AYSÉN.pdf,6 55866 ASOC DE VOLEIBOL DE PUERTO AYSÉN.pdf,.pdf,977.4,55866,,1,garantia,55866,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\7 58656 Club de Adultos Mayores Los Años Dorados.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\7 58656 Club de Adultos Mayores Los Años Dorados.pdf,7 58656 Club de Adultos Mayores Los Años Dorados.pdf,.pdf,697.1,58656,,1,garantia,58656,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\8 56048 CLUB DEPORTIVO Y SOCIAL COLONIAL.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\8 56048 CLUB DEPORTIVO Y SOCIAL COLONIAL.pdf,8 56048 CLUB DEPORTIVO Y SOCIAL COLONIAL.pdf,.pdf,755.8,56048,,1,garantia,56048,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\9 57058 AGRUP CUL Y PROD PRODUCTORAS DE LA PATAGONIA.pdf,AÑO 2022\14. AYSÉN\01. FFOIP\01. GARANTÍAS\Eliminar\9 57058 AGRUP CUL Y PROD PRODUCTORAS DE LA PATAGONIA.pdf,9 57058 AGRUP CUL Y PROD PRODUCTORAS DE LA PATAGONIA.pdf,.pdf,815.6,57058,,1,garantia,57058,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\09. ÑUBLE\01. FFOIP\01. GARANTÍAS\54622 JUNTA DE VECINOS ANTIQUEREO.pdf,AÑO 2022\09. ÑUBLE\01. FFOIP\01. GARANTÍAS\54622 JUNTA DE VECINOS ANTIQUEREO.pdf,54622 JUNTA DE VECINOS ANTIQUEREO.pdf,.pdf,256.3,54622,,1,garantia,54622,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\09. ÑUBLE\01. FFOIP\01. GARANTÍAS\54872 STREET WORKOUT CHILLAN.pdf,AÑO 2022\09. ÑUBLE\01. FFOIP\01. GARANTÍAS\54872 STREET WORKOUT CHILLAN.pdf,54872 STREET WORKOUT CHILLAN.pdf,.pdf,267.5,54872,,1,garantia,54872,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\09. ÑUBLE\01. FFOIP\01. GARANTÍAS\55066 Corporacion cultural de San Fabian.pdf,AÑO 2022\09. ÑUBLE\01. FFOIP\01. GARANTÍAS\55066 Corporacion cultural de San Fabian.pdf,55066 Corporacion cultural de San Fabian.pdf,.pdf,243.6,55066,,1,garantia,55066,1
respaldos,D:\Downloads\01. Respaldos Auditoría total UFC\AÑO 2022\09. ÑUBLE\01. FFOIP\01. GARANTÍAS\55135 ONG de Desarrollo Sonrisas de Niño.pdf,AÑO 2022\09. ÑUBLE\01. FFOIP\01. GARANTÍAS\55135 ONG de Desarrollo Sonrisas de Niño.pdf,55135 ONG de Desarrollo Sonrisas de Niño.pdf,.pdf,230.3,55135,,1,garantia,55135,1
