fuente,ruta_completa,ruta_relativa,nombre_archivo,extension,tamano_kb,folio_principal,folios_multiples,n_folios_detectados,categoria
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/55306 - JUNTA DE VECINOS JUAN PABLO II/Garantía - 55306.pdf,01. ARICA - FFOIP/55306 - JUNTA DE VECINOS JUAN PABLO II/Garantía - 55306.pdf,Garantía - 55306.pdf,.pdf,253.7,55306,,1,garantia
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59687 - JUNTA VECINAL N°2 NORTE GRANDE/Convenio - 59687.pdf,01. ARICA - FFOIP/59687 - JUNTA VECINAL N°2 NORTE GRANDE/Convenio - 59687.pdf,Convenio - 59687.pdf,.pdf,4069.3,59687,,1,convenio
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59687 - JUNTA VECINAL N°2 NORTE GRANDE/Garantía - 59687.pdf,01. ARICA - FFOIP/59687 - JUNTA VECINAL N°2 NORTE GRANDE/Garantía - 59687.pdf,Garantía - 59687.pdf,.pdf,811.7,59687,,1,garantia
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59687 - JUNTA VECINAL N°2 NORTE GRANDE/Resolución Exenta N° 106-2022.pdf,01. ARICA - FFOIP/59687 - JUNTA VECINAL N°2 NORTE GRANDE/Resolución Exenta N° 106-2022.pdf,Resolución Exenta N° 106-2022.pdf,.pdf,1192.4,59687,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59687 - JUNTA VECINAL N°2 NORTE GRANDE/Egreso - 59687.pdf,01. ARICA - FFOIP/59687 - JUNTA VECINAL N°2 NORTE GRANDE/Egreso - 59687.pdf,Egreso - 59687.pdf,.pdf,12.6,59687,,1,otro
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59687 - JUNTA VECINAL N°2 NORTE GRANDE/Res. Adjudicación REX 95-2022.pdf,01. ARICA - FFOIP/59687 - JUNTA VECINAL N°2 NORTE GRANDE/Res. Adjudicación REX 95-2022.pdf,Res. Adjudicación REX 95-2022.pdf,.pdf,1246.1,59687,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59908 - COLECTIVO SOCIAL CULTURAL DEPORTIVO CARNAVALON/Egreso - 59908.pdf,01. ARICA - FFOIP/59908 - COLECTIVO SOCIAL CULTURAL DEPORTIVO CARNAVALON/Egreso - 59908.pdf,Egreso - 59908.pdf,.pdf,12.6,59908,,1,otro
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59908 - COLECTIVO SOCIAL CULTURAL DEPORTIVO CARNAVALON/Garantía - 59908.pdf,01. ARICA - FFOIP/59908 - COLECTIVO SOCIAL CULTURAL DEPORTIVO CARNAVALON/Garantía - 59908.pdf,Garantía - 59908.pdf,.pdf,581.9,59908,,1,garantia
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59908 - COLECTIVO SOCIAL CULTURAL DEPORTIVO CARNAVALON/Resolución Exenta N° 106-2022.pdf,01. ARICA - FFOIP/59908 - COLECTIVO SOCIAL CULTURAL DEPORTIVO CARNAVALON/Resolución Exenta N° 106-2022.pdf,Resolución Exenta N° 106-2022.pdf,.pdf,1192.4,59908,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59908 - COLECTIVO SOCIAL CULTURAL DEPORTIVO CARNAVALON/Convenio - 59908.pdf,01. ARICA - FFOIP/59908 - COLECTIVO SOCIAL CULTURAL DEPORTIVO CARNAVALON/Convenio - 59908.pdf,Convenio - 59908.pdf,.pdf,3326.3,59908,,1,convenio
