region,folio,tipo,accion,detalle
RM,58804,egreso,OK,65041826-3.pdf → Egreso - 58804.pdf
RM,58804,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=CENTRO CULTURAL LA AMBULANCIA DE LA RISA
RM,58804,resolucion,OK,272-714.pdf → Resolución - 58804.pdf
RM,58829,egreso,OK,65098220-7.pdf → Egreso - 58829.pdf
RM,58829,convenio,OK,CONVENIO CENTRO DE PROMOCIÓN Y PREVENCIÓN EN SALUD MENTAL CLARITA DE.pdf → Convenio - 58829.pdf (score=5)
RM,58829,resolucion,OK,272-714.pdf → Resolución - 58829.pdf
RM,58944,egreso,OK,65238800-0.pdf → Egreso - 58944.pdf
RM,58944,convenio,OK,CONVENIO JUNTA DE VECINOS N°59 VILLA FANTASIA.pdf → Convenio - 58944.pdf (score=2)
RM,58944,resolucion,OK,272-714.pdf → Resolución - 58944.pdf
RM,58951,egreso,OK,65094016-4.pdf → Egreso - 58951.pdf
RM,58951,convenio,SIN_MATCH_RAZON,mejor_score=1 razon=AGRUPACION JUVENIL CULTURAL DEPORTIVO RA
RM,58951,resolucion,OK,272-714.pdf → Resolución - 58951.pdf
RM,59006,egreso,SIN_MATCH_RUT,RUT=65146594-K
RM,59006,convenio,OK,CONVENIO INDIGENA QUINAN.pdf → Convenio - 59006.pdf (score=2)
RM,59006,resolucion,OK,272-715.pdf → Resolución - 59006.pdf
